date,term_days,demand_volume,placement_volume,cutoff_rate,avg_rate
2010-08-10,1,361.21,361.21,,5.03
2010-08-10,7,3660.46,3660.46,,5.11
2010-08-11,1,369.78,369.78,,5.05
2010-08-12,1,275.52,275.52,,5.05
2010-08-13,3,225.72,225.72,,5.04
2010-08-16,1,700.41,700.41,,5.14
2010-08-17,7,2737.63,2737.63,,5.09
2010-08-17,1,360.5,360.5,,5.04
2010-08-18,1,215.17,215.17,,5.04
2010-08-19,1,296.12,296.12,,5.03
2010-08-20,3,4862.64,4862.64,,5.31
2010-08-23,1,488.75,488.75,,5.02
2010-08-24,1,535.71,535.71,,5.03
2010-08-24,7,2060.4,2060.4,,5.08
2010-08-25,1,398.92,398.92,,5.03
2010-08-26,1,360.03,360.03,,5.03
2010-08-27,3,360.48,360.48,,5.03
2010-08-30,1,360.38,360.38,,5.04
2010-08-31,1,304.29,304.29,,5.05
2010-08-31,7,1547.07,1547.07,,5.09
2010-09-01,1,194.26,194.26,,5.05
2010-09-02,1,291.5,291.5,,5.05
2010-09-03,3,597.89,597.89,,5.07
2010-09-06,1,611.51,611.51,,5.06
2010-09-06,91,74.97,74.97,,6.51
2010-09-07,1,749.16,749.16,,5.06
2010-09-07,7,520.05,520.05,,5.07
2010-09-08,1,289.86,289.86,,5.05
2010-09-09,1,291.42,291.42,,5.05
2010-09-10,3,291.39,291.39,,5.05
2010-09-13,1,1667.35,1667.35,,5.04
2010-09-14,7,617.34,617.34,,5.04
2010-09-14,1,1377.2,1377.2,,5.04
2010-09-15,1,609.24,609.24,,5.05
2010-09-16,1,128.21,128.21,,5.05
2010-09-17,3,128.26,128.26,,5.1
2010-09-20,1,268.99,268.99,,5.07
2010-09-21,1,1362.3,1362.3,,5.05
2010-09-21,7,618.4,618.4,,5.04
2010-09-22,1,1208.34,1208.34,,5.04
2010-09-23,1,173.87,173.87,,5.07
2010-09-24,3,250.58,250.58,,5.06
2010-09-27,1,555.36,555.36,,5.06
2010-09-28,1,704.04,704.04,,5.05
2010-09-28,7,100.79,100.79,,5.04
2010-09-29,1,162.08,162.08,,5.06
2010-09-30,1,11.94,11.94,,5.01
2010-10-01,3,595.19,595.19,,5.05
2010-10-04,1,111.18,111.18,,5.05
2010-10-05,1,20.34,20.34,,5.01
2010-10-05,7,90.58,90.58,,5.04
2010-10-12,7,67.37,67.37,,5.03
2010-10-18,1,38.6,38.6,,5.15
2010-10-19,1,47.41,47.41,,5.1
2010-10-19,7,116.59,116.59,,5.07
2010-10-20,1,38.72,38.72,,5.08
2010-10-21,1,225.25,225.25,,5.19
2010-10-22,3,153.51,153.51,,5.16
2010-10-25,1,185.98,185.98,,5.14
2010-10-26,7,239.29,239.29,,5.18
2010-10-26,1,212.54,212.54,,5.17
2010-10-27,1,119.19,119.19,,5.08
2010-10-28,1,146.4,146.4,,5.06
2010-10-29,3,120.65,120.65,,5.01
2010-11-01,91,84.79,84.79,,6.51
2010-11-01,1,450.08,450.08,,5.0
2010-11-02,7,229.52,229.52,,5.1
2010-11-10,1,63.35,63.35,,5.14
2010-11-22,1,801.81,801.81,,5.03
2010-11-23,1,983.66,983.66,,5.06
2010-11-25,1,25.65,25.65,,5.05
2010-11-29,1,1933.18,1933.18,,5.07
2010-11-30,7,167.99,167.99,,5.18
2010-11-30,1,3175.1,1260.46,,6.7
2010-12-01,1,6870.55,6870.55,,5.2
2010-12-02,1,5318.2,5318.2,,5.2
2010-12-03,3,4443.12,4443.12,,5.22
2010-12-06,1,5127.28,5127.28,,5.2
2010-12-06,91,169.58,169.58,,6.55
2010-12-07,1,5705.19,5705.19,,5.21
2010-12-08,1,3999.93,3999.93,,5.23
2010-12-09,1,3758.83,3758.83,,5.1
2010-12-10,3,2045.07,2045.07,,5.15
2010-12-16,1,208.75,208.75,,5.05
2010-12-20,91,2031.73,2031.73,,6.51
2010-12-24,3,678.86,678.86,,5.15
2010-12-27,1,1079.77,1079.77,,5.11
2010-12-28,1,1161.46,1161.46,,5.14
2010-12-28,14,640.53,640.53,,5.02
2010-12-29,1,1784.01,1784.01,,5.15
2011-04-29,4,4553.68,4553.68,,5.39
2011-05-03,1,17122.0,17122.0,,5.52
2011-05-04,1,1516.37,1513.37,,5.55
2011-05-27,3,1770.04,1770.04,,5.54
2011-05-30,1,10757.85,10757.85,,5.54
2011-05-31,1,253.84,253.84,,5.53
2011-06-22,1,1965.48,1965.48,,5.5
2011-06-23,1,1946.13,1946.13,,5.5
2011-06-24,3,1946.31,1946.31,,5.5
2011-06-27,1,1946.56,1946.56,,5.5
2011-06-28,1,1985.12,1985.12,,5.5
2011-06-29,1,2116.59,2116.59,,5.5
2011-06-30,1,2081.13,2081.13,,5.5
2011-07-28,1,13060.22,13060.22,,5.56
2011-07-29,3,9105.89,9105.89,,5.55
2011-08-01,1,2148.83,2148.83,,5.5
2011-08-08,1,574.66,574.66,,5.55
2011-08-09,1,617.39,617.39,,5.55
2011-08-10,1,421.41,421.41,,5.53
2011-08-11,1,560.85,560.85,,5.69
2011-08-12,3,489.59,489.59,,5.57
2011-08-15,1,536.2,536.2,,5.57
2011-08-16,1,1261.4,1261.4,,5.53
2011-08-17,1,1257.94,1257.94,,5.51
2011-08-18,1,1160.44,1160.44,,5.51
2011-08-19,3,1535.4,1535.4,,5.52
2011-08-22,1,825.66,825.66,,5.5
2011-08-23,7,382.21,382.21,,5.5
2011-08-23,1,1299.72,1299.72,,5.5
2011-08-24,1,798.16,798.16,,5.51
2011-08-25,1,330.55,330.55,,5.59
2011-08-26,3,450.63,450.63,,5.53
2011-08-29,1,5500.65,5500.65,,5.53
2011-08-30,1,12283.1,12283.1,,5.53
2011-08-30,7,2705.75,2705.75,,5.53
2011-08-31,1,1127.41,1127.41,,5.5
2011-09-01,1,619.3,619.3,,5.52
2011-09-02,3,196.56,196.56,,5.51
2011-09-05,1,40873.87,40873.87,,5.54
2011-09-06,1,140.0,140.0,,5.6
2011-09-07,1,375.18,375.18,,5.51
2011-09-13,1,384.87,384.87,,5.5
2011-09-14,1,405.55,405.55,,5.5
2011-09-15,1,14433.96,14433.96,,5.27
2011-09-16,3,169523.16,149819.04,,5.34
2011-09-19,1,125555.37,125555.37,,5.31
2011-09-19,91,188.95,188.95,,6.76
2011-09-20,7,11935.48,9206.29,,5.33
2011-09-20,1,180737.52,180737.52,,5.3
2011-09-21,1,1085.65,1085.65,,5.28
2011-09-22,1,94176.41,94176.41,,5.28
2011-09-23,3,94412.34,94412.34,,5.28
2011-09-26,1,170853.48,170853.48,,5.3
2011-09-27,1,150307.46,150307.46,,5.29
2011-09-27,7,14126.88,9661.77,,5.43
2011-09-28,1,199512.19,199512.19,,5.29
2011-09-29,1,4631.21,4631.21,,5.28
2011-09-30,3,44949.82,44949.82,,5.29
2011-10-03,1,179419.58,179419.58,,5.29
2011-10-04,7,18672.9,18672.9,,5.33
2011-10-04,1,113046.45,113046.45,,5.28
2011-10-05,1,87181.56,87181.56,,5.28
2011-10-06,1,86529.08,86529.08,,5.28
2011-10-07,3,70143.15,70143.15,,5.28
2011-10-10,1,85463.83,85463.83,,5.28
2011-10-11,1,168276.09,54158.73,,5.32
2011-10-11,7,78047.62,78047.62,,5.28
2011-10-12,1,401673.86,388913.64,,5.3
2011-10-13,1,277805.91,277805.91,,5.28
2011-10-14,3,267322.3,267322.3,,5.28
2011-10-17,91,371.17,371.17,,6.79
2011-10-17,1,300549.11,300549.11,,5.28
2011-10-18,1,379486.25,379486.25,,5.27
2011-10-18,7,146880.35,146880.35,,5.27
2011-10-19,1,18358.54,18358.54,,5.3
2011-10-20,1,244834.61,244834.61,,5.27
2011-10-21,3,296258.94,296258.94,,5.28
2011-10-24,1,305953.19,305953.19,,5.27
2011-10-25,1,392709.52,392709.52,,5.27
2011-10-25,7,206317.26,206317.26,,5.27
2011-10-26,1,274020.15,274020.15,,5.28
2011-10-27,1,292441.82,292441.82,,5.27
2011-10-28,3,50353.99,50353.99,,5.26
2011-10-31,1,198224.57,198224.57,,5.28
2011-11-01,1,239263.28,239263.28,,5.27
2011-11-01,7,163770.58,163770.58,,5.26
2011-11-02,1,221812.8,221812.8,,5.27
2011-11-03,4,137757.01,137757.01,,5.28
2011-11-07,1,177041.16,177041.16,,5.27
2011-11-08,7,153789.05,153789.05,,5.26
2011-11-08,1,70763.52,70763.52,,5.26
2011-11-09,1,157706.54,157706.54,,5.27
2011-11-10,1,364829.61,364829.61,,5.26
2011-11-11,3,370904.02,370904.02,,5.26
2011-11-14,1,373501.02,373501.02,,5.26
2011-11-14,91,41447.66,41447.66,,6.75
2011-11-15,1,521376.57,521376.57,,5.26
2011-11-15,7,263158.3,263158.3,,5.26
2011-11-16,1,4117.48,4117.48,,5.27
2011-11-17,1,146627.99,146627.99,,5.28
2011-11-18,3,175970.2,175970.2,,5.27
2011-11-21,1,215181.93,215181.93,,5.27
2011-11-22,7,254803.17,254803.17,,5.26
2011-11-22,1,195058.18,195058.18,,5.27
2011-11-23,1,177152.95,177152.95,,5.27
2011-11-24,1,168645.48,168645.48,,5.27
2011-11-25,3,85610.81,85610.81,,5.28
2011-11-28,1,426976.27,426976.27,,5.27
2011-11-29,1,529582.87,478740.27,,5.27
2011-11-29,7,340125.8,340125.8,,5.27
2011-11-30,1,373693.88,373693.88,,5.31
2011-12-01,1,260239.19,260239.19,,5.29
2011-12-02,3,169035.97,169035.97,,5.29
2011-12-05,91,71055.86,71055.86,,6.75
2011-12-05,1,8641.15,8641.15,,5.29
2011-12-06,1,185546.55,119418.45,,5.31
2011-12-06,7,351321.08,351321.08,,5.28
2011-12-07,1,202242.89,102914.26,,5.37
2011-12-08,1,234517.2,109249.53,,5.62
2011-12-09,3,205178.19,127644.31,,5.88
2011-12-12,1,376434.48,257733.35,,5.66
2011-12-13,7,623623.09,623623.09,,5.55
2011-12-13,1,13886.29,6255.82,,5.79
2011-12-14,1,56728.95,56728.95,,5.27
2011-12-15,1,201686.79,139382.05,,5.54
2011-12-16,3,149529.95,119929.73,,5.57
2011-12-19,1,134181.03,37109.24,,5.94
2011-12-19,91,95210.57,54818.14,,6.9
2011-12-20,1,110784.18,49863.02,,6.08
2011-12-20,7,707371.81,568273.17,,5.56
2011-12-21,1,187451.21,99997.21,,5.94
2011-12-22,1,161566.17,59810.78,,6.34
2011-12-23,3,4872.07,4872.07,,6.47
2011-12-26,1,289006.64,242378.51,,6.08
2011-12-27,1,297079.86,217571.45,,6.07
2011-12-28,1,775016.39,775016.39,,5.58
2011-12-29,12,192254.15,192254.15,,5.61
2011-12-29,1,352678.99,352678.99,,5.36
2011-12-30,11,119443.44,119443.44,,5.35
2011-12-30,4,31295.2,31295.2,,5.27
2012-01-03,1,7233.85,6200.44,,5.26
2012-01-04,1,108644.86,48883.05,,5.26
2012-01-05,1,50075.95,49807.38,,5.25
2012-01-06,3,30706.25,30706.25,,5.25
2012-01-09,1,50623.48,49945.78,,5.25
2012-01-10,1,194321.07,82157.92,,6.01
2012-01-10,7,57311.61,254.46,,6.55
2012-01-11,1,37509.8,10979.98,,6.1215
2012-01-12,1,24554.09,11397.23,,6.0921
2012-01-13,3,19378.19,11138.27,,6.0825
2012-01-16,1,275.86,275.86,,5.3106
2012-01-16,91,140916.27,124762.67,,6.9405
2012-01-17,1,14953.44,9661.78,,5.7001
2012-01-17,7,26203.02,3486.02,,5.658
2012-01-18,1,13699.62,9878.58,,5.6273
2012-01-19,1,4064.42,4064.42,,5.9014
2012-01-20,3,4884.41,4884.41,,5.6858
2012-01-23,1,11166.36,9073.54,,5.4977
2012-01-24,7,274567.58,194554.81,,5.4218
2012-01-24,1,32054.41,32054.41,,5.3711
2012-01-25,1,4923.51,1794.83,,5.969
2012-01-26,1,17368.98,3811.16,,6.0595
2012-01-27,3,104966.95,47440.49,,6.0428
2012-01-30,1,84780.01,38300.55,,6.0675
2012-01-31,1,37887.66,9952.38,,6.0784
2012-01-31,7,39428.55,10765.25,,6.0027
2012-02-01,1,22510.95,9540.73,,6.0592
2012-02-02,1,5087.53,5087.53,,5.8344
2012-02-03,3,4316.97,4316.97,,5.4946
2012-02-06,1,1605.33,1605.33,,5.4801
2012-02-07,7,4182.4,4182.4,,5.3041
2012-02-07,1,1640.71,1640.71,,5.4769
2012-02-09,1,1502.2,1502.2,,5.4996
2012-02-10,3,1765.91,1765.91,,5.2633
2012-02-13,1,1275.25,1275.25,,5.2527
2012-02-14,1,1220.28,1220.28,,5.2514
2012-02-14,7,9838.61,9838.61,,5.274
2012-02-15,1,4195.89,4195.89,,5.3487
2012-02-16,1,2602.36,2602.36,,5.2874
2012-02-17,3,2448.5,2448.5,,5.2629
2012-02-20,91,15406.8,15406.8,,6.7698
2012-02-20,1,3685.94,3685.94,,5.2781
2012-02-21,1,3687.13,3687.13,,5.2767
2012-02-21,7,12699.93,6200.42,,5.3336
2012-02-22,2,3758.08,3758.08,,5.3305
2012-02-24,3,4973.17,4973.17,,5.3045
2012-02-27,1,5151.42,5151.42,,5.2955
2012-02-28,1,16385.63,16385.63,,5.2776
2012-02-28,7,15953.71,15953.71,,5.2904
2012-02-29,1,101806.03,101806.03,,5.3116
2012-03-01,1,55288.12,55288.12,,5.3138
2012-03-02,3,12944.14,12944.14,,5.2989
2012-03-05,1,6932.45,6932.45,,5.2724
2012-03-06,7,15308.09,15308.09,,5.292
2012-03-06,1,189.56,189.56,,5.337
2012-03-07,4,5909.02,5909.02,,5.2932
2012-03-11,1,11616.49,11616.49,,5.2664
2012-03-12,1,50191.57,50191.57,,5.2764
2012-03-13,1,154061.82,121266.98,,5.3507
2012-03-13,7,102024.42,102024.42,,5.3023
2012-03-14,1,66306.71,66306.71,,5.3167
2012-03-15,1,1786.91,1786.91,,5.2979
2012-03-16,3,17092.65,17092.65,,5.318
2012-03-19,1,131436.61,85687.49,,5.3654
2012-03-20,1,141551.97,141551.97,,5.371
2012-03-20,7,141274.03,141274.03,,5.298
2012-03-21,1,133077.34,133077.34,,5.3601
2012-03-22,1,85984.01,85984.01,,5.3292
2012-03-23,3,46397.54,46397.54,,5.292
2012-03-26,1,176587.7,176587.7,,5.3104
2012-03-27,1,31214.01,31214.01,,5.3739
2012-03-27,7,195522.89,195522.89,,5.2864
2012-03-28,1,186250.27,186250.27,,5.3337
2012-03-29,1,309181.71,309181.71,,5.295
2012-03-30,3,475526.61,339660.61,,5.3307
2012-04-02,1,371073.87,209606.78,,5.5505
2012-04-03,7,338821.06,306335.17,5.2513,5.3887
2012-04-03,1,330737.59,214714.06,5.4,5.6378
2012-04-04,1,3973.68,2763.18,,5.3784
2012-04-05,1,19085.7,9819.8,5.36,5.5251
2012-04-06,3,4613.54,4613.54,,5.565
2012-04-09,1,4418.7,4418.7,5.25,5.462
2012-04-09,364,28573.8,28573.8,7.75,7.7623
2012-04-10,7,73438.0,73438.0,5.25,5.3056
2012-04-10,1,2638.7,2638.7,5.25,5.3639
2012-04-11,1,166419.1,138031.1,5.3001,5.4195
2012-04-12,1,135053.2,129524.1,5.28,5.3996
2012-04-13,3,207848.2,169991.2,5.352,5.5097
2012-04-16,91,99986.7,99986.7,6.75,6.8379
2012-04-16,1,7081.6,1799.8,5.56,5.7036
2012-04-17,1,331147.0,219586.8,5.3989,5.4959
2012-04-17,7,372061.7,372061.7,5.25,5.321
2012-04-18,1,76288.9,9869.9,5.62,5.754
2012-04-19,1,48734.4,9426.9,5.7111,5.7739
2012-04-20,3,207661.6,148287.5,5.3506,5.5182
2012-04-23,1,186350.7,119847.3,5.374,5.5385
2012-04-24,1,4871.4,2435.8,5.853,5.9324
2012-04-24,7,504872.3,504872.3,5.25,5.2988
2012-04-25,1,236657.7,185681.6,5.31,5.5446
2012-04-26,1,282004.6,219958.2,5.4007,5.4805
2012-04-27,1,460268.0,388652.8,5.351,5.515
2012-04-28,4,451943.3,451943.3,5.26,5.4958
2012-04-28,8,436852.6,436852.6,5.25,5.3089
2012-05-02,1,440179.3,440179.3,5.25,5.3719
2012-05-03,1,545543.3,499418.4,5.26,5.3408
2012-05-04,1,84451.4,84451.4,5.25,5.2654
2012-05-05,6,828299.9,796668.2,5.2501,5.2726
2012-05-05,5,166014.1,145977.7,5.2789,5.3766
2012-05-10,1,131255.8,9970.7,5.88,5.9088
2012-05-11,1,202175.8,139583.9,5.5001,5.7106
2012-05-12,2,164077.7,164077.7,5.25,5.4762
2012-05-14,1,223137.4,174866.7,5.27,5.4767
2012-05-15,1,1473.7,1473.7,5.2501,5.2831
2012-05-15,7,519692.8,519692.8,5.25,5.3039
2012-05-16,1,115278.7,115278.7,5.25,5.5603
2012-05-17,1,123613.2,123613.2,5.25,5.4154
2012-05-18,3,178395.9,178395.9,5.25,5.4599
2012-05-21,91,96097.5,96097.5,6.75,6.7575
2012-05-21,1,216552.0,216552.0,5.25,5.44
2012-05-22,1,253167.3,253167.3,5.25,5.3555
2012-05-22,7,583071.4,583071.4,5.25,5.2909
2012-05-23,1,9018.2,3978.4,5.65,5.7392
2012-05-24,1,99647.7,99647.7,5.25,5.4137
2012-05-25,3,232133.0,232133.0,5.25,5.4236
2012-05-28,1,336718.4,336718.4,5.25,5.4183
2012-05-29,1,334940.9,334940.9,5.25,5.3514
2012-05-29,7,477177.2,477177.2,5.25,5.2986
2012-05-30,1,359892.2,359892.2,5.25,5.3508
2012-05-31,1,344368.8,338936.0,5.2562,5.4627
2012-06-01,3,2414.9,2414.9,5.25,5.388
2012-06-04,1,240670.8,240670.8,5.25,5.3134
2012-06-05,1,176340.1,176340.1,5.25,5.3033
2012-06-05,7,515702.4,515702.4,5.25,5.2808
2012-06-06,1,176523.6,176523.6,5.25,5.3115
2012-06-07,1,190368.1,190368.1,5.25,5.2974
2012-06-08,1,361483.0,361483.0,5.25,5.3537
2012-06-09,7,692396.7,692396.7,5.25,5.2761
2012-06-09,4,36584.1,36584.1,5.25,5.2703
2012-06-13,1,267468.5,267468.5,5.25,5.3088
2012-06-14,1,408387.2,408387.2,5.25,5.3446
2012-06-15,3,579451.6,474342.5,5.27,5.3912
2012-06-18,1,486927.9,486927.9,5.25,5.3428
2012-06-18,91,15764.7,15764.7,6.75,6.7525
2012-06-19,1,413143.6,413143.6,5.25,5.3052
2012-06-19,7,615147.2,615147.2,5.25,5.2794
2012-06-20,1,6801.2,6801.2,5.25,5.3733
2012-06-21,1,18007.1,18007.1,5.26,5.3795
2012-06-22,3,350035.7,350035.7,5.25,5.3113
2012-06-25,1,437627.0,437627.0,5.25,5.3182
2012-06-26,1,381777.5,381777.5,5.25,5.3038
2012-06-26,7,628108.8,628108.8,5.25,5.2802
2012-06-27,1,381448.9,381448.9,5.25,5.2966
2012-06-28,1,512074.5,512074.5,5.25,5.2839
2012-06-29,3,21761.1,21761.1,5.25,5.3599
2012-07-02,1,552829.5,476273.0,5.251,5.295
2012-07-03,1,461443.5,417755.5,5.2506,5.3048
2012-07-03,7,664605.0,664605.0,5.25,5.2724
2012-07-04,1,212457.8,212457.8,5.25,5.3017
2012-07-05,1,267268.6,267268.6,5.25,5.2763
2012-07-06,3,9849.4,9849.4,5.25,5.3424
2012-07-09,364,804.8,804.8,7.75,7.7552
2012-07-09,1,2314.7,132.3,5.7,5.7
2012-07-10,1,436862.8,329970.9,5.2528,5.3468
2012-07-10,7,1044610.7,1001810.0,5.2501,5.2708
